feature,coef,abs_coef
status,1.468841638923762,1.468841638923762
DFA_x,-0.4133319666159679,0.4133319666159679
spread1,0.3389919099653841,0.3389919099653841
PPE_y,0.29207210620393914,0.29207210620393914
MDVP:APQ,0.18725522178233042,0.18725522178233042
MDVP:Shimmer,0.1783576068206795,0.1783576068206795
HNR_y,-0.17760549355549887,0.17760549355549887
spread2,0.14465113332246873,0.14465113332246873
MDVP:Flo(Hz),-0.12975791612086512,0.12975791612086512
MDVP:Fo(Hz),-0.09861112358449167,0.09861112358449167
